,Company Name,Industry,Symbol,eps,bv,insider_h,inst_h,float_pc
66,Bharat Dynamics Ltd.,INDUSTRIAL MANUFACTURING,BDL,16.582,136.664,74.926,16.375,0.2511095531390402
67,Bharat Electronics Ltd.,INDUSTRIAL MANUFACTURING,BEL,7.295,41.607,51.137,39.228,0.48912031809634554
68,Bharat Forge Ltd.,INDUSTRIAL MANUFACTURING,BHARATFORG,-8.744,113.545,47.325,31.724999999999998,0.5214952010721078
69,Bharat Heavy Electricals Ltd.,INDUSTRIAL MANUFACTURING,BHEL,-9.644,78.286,63.181,25.526,0.3649510560764508
70,Bharat Petroleum Corporation Ltd.,OIL & GAS,BPCL,81.6,268.105,54.495000000000005,26.070999999999998,0.4110920526760777
71,Bharat Rasayan Ltd.,FERTILISERS & PESTICIDES,BHARATRAS,360.819,1518.355,0.0,1.433,0.2041600568639173
72,Bharti Airtel Ltd.,TELECOM,BHARTIARTL,-27.65,107.408,55.996,29.455,0.4237814292670717
73,Biocon Ltd.,PHARMA,BIOCON,6.19,64.16,66.407996,13.259000000000002,0.3572731751911684
74,Birla Corporation Ltd.,CEMENT & CEMENT PRODUCTS,BIRLACORPN,81.83,712.455,65.929,13.668,0.37629015801718363
75,Birlasoft Ltd.,IT,BSOFT,11.539,78.409,53.691,27.105,0.49000960101995866
76,Bliss GVS Pharma Ltd.,PHARMA,BLISSGVS,6.49,78.985,67.01599999999999,10.395,0.35349060053987635
77,Blue Dart Express Ltd.,SERVICES,BLUEDART,42.91,249.478,78.224,11.083999,0.2232301636470147
78,Blue Star Ltd.,CONSUMER GOODS,BLUESTARCO,10.42,91.943,45.141,30.457002,0.4014269009384149
79,Bombay Burmah Trading Corporation Ltd.,CONSUMER GOODS,BBTC,52.96,784.837,75.176,6.1490003,0.2221269036889118
80,Bosch Ltd.,AUTOMOBILE,BOSCHLTD,163.4,3326.83,70.666003,16.792,0.29345722461822227
81,Brigade Enterprises Ltd.,CONSTRUCTION,BRIGADE,-2.24,111.539,55.838,34.335,0.3732664960182025
82,Britannia Industries Ltd.,CONSUMER GOODS,BRITANNIA,77.4,147.332,50.547003999999994,21.570998,0.4922069515253168
83,Burger King India Ltd.,CONSUMER SERVICES,BURGERKING,-5.47,17.655,64.61099999999999,19.457,0.34945723382285454
84,CCL Products (I) Ltd.,CONSUMER GOODS,CCL,13.7,81.763,50.74999999999999,19.440001000000002,0.5070621222599754
85,CESC Ltd.,POWER,CESC,100.382,759.454,6.0229998,79.61,0.4997718113717118
86,CRISIL Ltd.,FINANCIAL SERVICES,CRISIL,48.229,180.707,73.599,15.321000000000002,0.26442592933711273
87,CSB Bank Ltd.,FINANCIAL SERVICES,CSBBANK,12.59,125.558,59.940000000000005,9.792,0.8359793355083407
88,Cadila Healthcare Ltd.,PHARMA,CADILAHC,20.84,126.861,75.0,13.941,0.2474348770997362
89,Can Fin Homes Ltd.,FINANCIAL SERVICES,CANFINHOME,34.25,195.919,42.921,22.609,0.5791961488201631
90,Canara Bank,FINANCIAL SERVICES,CANBK,19.11,378.911,69.332004,15.365,0.3067433048421644
91,Caplin Point Laboratories Ltd.,PHARMA,CAPLIPOINT,31.71,156.872,76.157,1.701,0.2236904239398859
92,Capri Global Capital Ltd.,FINANCIAL SERVICES,CGCL,,,,,
