,Company Name,Industry,Symbol,eps,bv,insider_h,inst_h,float_pc,price,dv_avg,trn_avg
100,Cera Sanitaryware Ltd,CONSUMER GOODS,CERA,70.919,611.386,60.401,24.587,0.3187328058804081,4115.35009765625,-0.0008298875735639652,15723338.733868672
101,Chalet Hotels Ltd.,CONSUMER SERVICES,CHALET,-6.78,69.273,75.553,21.666001,0.2826311943967535,171.5,-0.0035918993498048244,41420944.9795984
102,Chambal Fertilizers & Chemicals Ltd.,FERTILISERS & PESTICIDES,CHAMBLFERT,39.76,126.109,65.45400000000001,19.633,0.3526316937685003,299.20001220703125,-0.0016273711539535256,150701597.0599094
103,Cholamandalam Financial Holdings Ltd.,FINANCIAL SERVICES,CHOLAHLDNG,43.93,286.814,50.86000000000001,33.43,0.4911096799624989,641.0,-0.0017215547297410967,24391459.54369689
104,Cholamandalam Investment and Finance Company Ltd.,FINANCIAL SERVICES,CHOLAFIN,18.52,117.095,51.803,38.479,0.4820158224274721,545.9000244140625,0.0005083772822178419,231207597.87371212
105,Cipla Ltd.,PHARMA,CIPLA,29.79,227.246,38.621,29.876,0.6270568969804514,944.6500244140624,-0.0012490631784242618,673090856.8379968
106,City Union Bank Ltd.,FINANCIAL SERVICES,CUB,7.97,79.345,8.36,49.543,0.9349032771649296,174.14999389648438,-0.0027911107338327574,64517411.13883653
107,Coal India Ltd.,METALS,COALINDIA,20.68,60.126,66.135,24.254999,0.3272732476088311,145.85000610351562,-0.0009111460883551278,1418203034.2085614
108,Cochin Shipyard Ltd.,INDUSTRIAL MANUFACTURING,COCHINSHIP,38.698,281.742,72.86200000000001,7.095999999999999,0.2713504257260149,384.0499877929688,-0.002976726384847875,138782928.77905378
109,Coforge Ltd.,IT,COFORGE,73.29,406.999,3.74,82.45599999999999,0.4156896833426029,3445.85009765625,-0.0011182754982215443,310639420.2250819
110,Colgate Palmolive (India) Ltd.,CONSUMER GOODS,COLPAL,38.07,42.869,51.120996,19.539,0.4859226238657945,1683.800048828125,-0.000696894620632536,248960854.81342566
111,Computer Age Management Services Ltd.,FINANCIAL SERVICES,CAMS,41.93,105.702,45.398998,39.360002,0.5791374793908921,2418.39990234375,0.00028462222128011717,341424085.93877554
112,Container Corporation of India Ltd.,SERVICES,CONCOR,8.22,167.195,55.63399999999999,31.149,0.4384702393006925,673.3499755859375,-0.0007128375872540371,235258222.21827683
113,Coromandel International Ltd.,FERTILISERS & PESTICIDES,COROMANDEL,45.22,175.487,60.499,24.577999,0.3965672929127908,836.7999877929688,0.000557840998498082,58832668.73225571
114,CreditAccess Grameen Ltd.,FINANCIAL SERVICES,CREDITACC,8.9,173.844,75.801,13.982001,0.3489903320777033,633.9000244140625,-6.199677385931824e-05,85482917.68173192
115,Crompton Greaves Consumer Electricals Ltd.,CONSUMER GOODS,CROMPTON,9.75,30.784,16.747,64.375997,0.8856323912748485,393.7000122070313,-0.0007333492135532812,260996016.43405706
116,Cummins India Ltd.,INDUSTRIAL MANUFACTURING,CUMMINSIND,22.91,167.776,51.041,31.435,0.4769833874458874,824.5999755859375,-0.0018891320607734429,188848345.93204722
117,Cyient Ltd.,IT,CYIENT,33.06,268.773,32.727000000000004,56.486,0.6498921058131821,816.3499755859375,-0.0013965606701181095,75637526.71559262
118,DCB Bank Ltd.,FINANCIAL SERVICES,DCBBANK,10.7,121.089,17.206,53.965,0.8398148704107944,105.1999969482422,-0.002163779655660481,182224661.45966363
119,DCM Shriram Ltd.,CONSUMER GOODS,DCMSHRIRAM,43.17,298.081,78.251,11.09,0.2148209013607623,667.5,-0.0011515232414717072,26967065.657582097
120,DLF Ltd.,CONSTRUCTION,DLF,-5.038,139.161,74.953,13.618,0.2441645125123071,286.70001220703125,-0.0006707202023928806,2019717525.0221379
121,Dabur India Ltd.,CONSUMER GOODS,DABUR,9.55,43.407,67.999,16.242,0.3797578732531834,530.4500122070312,-0.00127221874377875,356881893.7722178
122,Dalmia Bharat Ltd.,CEMENT & CEMENT PRODUCTS,DALBHARAT,65.55,673.387,52.966,8.963000000000001,0.3735971569046601,1826.0,-0.0011149476398835266,165738144.11096218
123,Deepak Nitrite Ltd.,CHEMICALS,DEEPAKNTR,56.88,172.049,49.469003,20.879,0.4969736055060659,1796.8499755859375,-2.533618538965643e-05,158348636.2563857
124,Delta Corp Ltd.,CONSUMER SERVICES,DELTACORP,-0.9,72.605,42.488,11.057,0.5433153138115909,177.85000610351562,-0.001452840092780393,297344753.90855956
125,Dhani Services Ltd.,FINANCIAL SERVICES,DHANI,-7.3,96.841,67.676,11.882,0.2757288467338989,176.4499969482422,-0.0016693978556886761,314814993.7436252
126,Dhanuka Agritech Ltd.,FERTILISERS & PESTICIDES,DHANUKA,44.61,171.045,75.0,13.194,0.2445787260158517,858.0499877929688,-0.0014166533744237192,20816512.811139148
127,Dilip Buildcon Ltd.,CONSTRUCTION,DBL,31.92,374.126,70.151,19.597,0.1774705507658967,556.0,-0.0019212823720031623,205156135.79915592
128,Dish TV India Ltd.,MEDIA ENTERTAINMENT & PUBLICATION,DISHTV,-6.321,20.46,47.421002,14.751,0.8621565450279449,16.950000762939453,-0.002831055457877728,324382447.8807837
129,Dishman Carbogen Amcis Ltd.,PHARMA,DCAL,-10.53,363.404,65.792,13.088,0.3572889352907427,214.0,-0.003030215156075015,86506210.14038546
130,Divi's Laboratories Ltd.,PHARMA,DIVISLAB,74.75,350.108,52.368,25.661,0.4706970032869225,4095.85009765625,-0.0005780213082828924,600672160.5237701
131,Dixon Technologies (India) Ltd.,CONSUMER GOODS,DIXON,26.87,126.77,51.70600400000001,24.408,0.420551943506336,3912.25,-0.0005391462572281422,360797171.8917423
